census_occ2010,onet_code
10,11-1011.00
10,11-1011.03
20,11-1021.00
30,11-1031.00
40,11-2011.00
50,11-2021.00
50,11-2022.00
60,11-2032.00
60,11-2033.00
100,11-3012.00
100,11-3013.00
110,11-3021.00
120,11-3031.00
120,11-3031.01
135,11-3111.00
136,11-3121.00
137,11-3131.00
140,11-3051.00
140,11-3051.01
140,11-3051.02
140,11-3051.03
140,11-3051.04
140,11-3051.06
150,11-3061.00
160,11-3071.00
205,11-9013.00
220,11-9021.00
230,11-9031.00
230,11-9032.00
230,11-9033.00
230,11-9039.00
230,11-9179.01
300,11-9041.00
300,11-9041.01
310,11-9051.00
325,11-9171.00
330,11-9071.00
340,11-9081.00
350,11-9111.00
360,11-9121.00
360,11-9121.01
360,11-9121.02
400,11-9131.00
410,11-9141.00
420,11-9151.00
425,11-9161.00
430,11-3013.01
430,11-3031.03
430,11-3071.04
430,11-9072.00
430,11-9179.00
430,11-9199.00
430,11-9199.01
430,11-9199.02
430,11-9199.08
430,11-9199.09
430,11-9199.10
430,11-9199.11
430,13-1082.00
500,13-1011.00
510,13-1021.00
520,13-1022.00
530,13-1023.00
540,13-1031.00
540,13-1032.00
565,13-1041.00
565,13-1041.01
565,13-1041.03
565,13-1041.04
565,13-1041.06
565,13-1041.07
600,13-1051.00
630,13-1071.00
630,13-1074.00
630,13-1075.00
640,13-1141.00
650,13-1151.00
700,13-1081.00
700,13-1081.01
700,13-1081.02
710,13-1111.00
725,13-1121.00
726,13-1131.00
735,13-1161.00
740,13-1041.08
740,13-1082.00
740,13-1199.00
740,13-1199.04
740,13-1199.05
740,13-1199.06
740,13-1199.07
740,47-4011.01
800,13-2011.00
810,13-2022.00
810,13-2023.00
820,13-2031.00
830,13-2041.00
840,13-2051.00
840,13-2054.00
850,13-2052.00
860,13-2053.00
900,13-2061.00
910,13-2071.00
910,13-2072.00
930,13-2081.00
940,13-2082.00
950,13-2051.00
950,13-2054.00
950,13-2099.00
950,13-2099.01
950,13-2099.04
1005,15-1221.00
1006,15-1211.00
1006,15-1211.01
1007,15-1212.00
1010,15-1251.00
1020,15-1252.00
1020,15-1253.00
1030,15-1254.00
1030,15-1255.00
1050,15-1231.00
1050,15-1232.00
1060,15-1242.00
1060,15-1243.00
1105,15-1244.00
1106,15-1241.00
1106,15-1241.01
1107,13-1082.00
1107,13-1161.01
1107,15-1243.00
1107,15-1243.01
1107,15-1253.00
1107,15-1255.00
1107,15-1255.01
1107,15-1299.00
1107,15-1299.01
1107,15-1299.02
1107,15-1299.03
1107,15-1299.08
1107,15-1299.09
1107,15-2051.01
1200,15-2011.00
1210,15-2021.00
1220,15-2031.00
1230,15-2041.00
1230,15-2041.01
1230,15-2051.02
1240,15-2051.00
1240,15-2099.00
1300,17-1011.00
1300,17-1012.00
1310,17-1021.00
1310,17-1022.00
1310,17-1022.01
1320,17-2011.00
1330,17-2021.00
1340,17-2031.00
1350,17-2041.00
1360,17-2051.00
1360,17-2051.01
1400,17-2061.00
1410,17-2071.00
1410,17-2072.00
1410,17-2072.01
1420,17-2051.02
1420,17-2081.00
1430,17-2111.00
1430,17-2111.02
1430,17-2112.00
1430,17-2112.01
1440,17-2121.00
1450,17-2131.00
1460,17-2141.00
1460,17-2141.01
1460,17-2141.02
1500,17-2151.00
1510,17-2161.00
1520,17-2171.00
1530,17-2031.00
1530,17-2112.02
1530,17-2112.03
1530,17-2199.00
1530,17-2199.03
1530,17-2199.05
1530,17-2199.06
1530,17-2199.07
1530,17-2199.08
1530,17-2199.09
1530,17-2199.10
1530,17-2199.11
1540,17-3011.00
1540,17-3012.00
1540,17-3013.00
1540,17-3019.00
1550,17-3021.00
1550,17-3022.00
1550,17-3023.00
1550,17-3024.00
1550,17-3024.01
1550,17-3025.00
1550,17-3026.00
1550,17-3026.01
1550,17-3027.00
1550,17-3027.01
1550,17-3028.00
1550,17-3029.00
1550,17-3029.01
1550,17-3029.08
1560,17-3031.00
1600,19-1011.00
1600,19-1012.00
1600,19-1013.00
1610,19-1021.00
1610,19-1022.00
1610,19-1023.00
1610,19-1029.00
1610,19-1029.01
1610,19-1029.02
1610,19-1029.03
1610,19-1029.04
1640,19-1031.00
1640,19-1031.02
1640,19-1031.03
1640,19-1032.00
1650,19-1041.00
1650,19-1042.00
1660,19-1099.00
1700,19-2011.00
1700,19-2012.00
1710,19-2021.00
1720,19-2031.00
1720,19-2032.00
1740,19-2041.00
1740,19-2041.01
1740,19-2041.02
1740,19-2041.03
1740,19-2042.00
1740,19-2043.00
1760,19-2099.00
1760,19-2099.01
1800,19-3011.00
1800,19-3011.01
1815,19-3022.00
1820,19-3032.00
1820,19-3033.00
1820,19-3034.00
1820,19-3039.00
1820,19-3039.02
1820,19-3039.03
1830,19-3041.00
1840,19-3051.00
1860,19-3091.00
1860,19-3092.00
1860,19-3093.00
1860,19-3094.00
1860,19-3099.00
1860,19-3099.01
1900,19-4012.00
1900,19-4013.00
1910,19-4021.00
1920,19-4031.00
1930,19-4043.00
1930,19-4044.00
1940,19-4051.00
1940,19-4051.02
1950,19-3051.00
1950,19-4061.00
1965,19-4012.01
1965,19-4042.00
1965,19-4044.00
1965,19-4071.00
1965,19-4092.00
1965,19-4099.00
1965,19-4099.01
1965,19-4099.03
2000,21-1011.00
2000,21-1012.00
2000,21-1013.00
2000,21-1014.00
2000,21-1015.00
2000,21-1019.00
2010,21-1021.00
2010,21-1022.00
2010,21-1023.00
2010,21-1029.00
2015,21-1092.00
2016,21-1093.00
2025,21-1091.00
2025,21-1094.00
2025,21-1099.00
2040,21-2011.00
2050,21-2021.00
2060,21-2099.00
2100,23-1011.00
2105,23-1012.00
2110,23-1021.00
2110,23-1022.00
2110,23-1023.00
2145,23-2011.00
2160,23-2093.00
2160,23-2099.00
2160,27-3092.00
2200,25-1011.00
2200,25-1021.00
2200,25-1022.00
2200,25-1031.00
2200,25-1032.00
2200,25-1041.00
2200,25-1042.00
2200,25-1043.00
2200,25-1051.00
2200,25-1052.00
2200,25-1053.00
2200,25-1054.00
2200,25-1061.00
2200,25-1062.00
2200,25-1063.00
2200,25-1064.00
2200,25-1065.00
2200,25-1066.00
2200,25-1067.00
2200,25-1069.00
2200,25-1071.00
2200,25-1072.00
2200,25-1081.00
2200,25-1082.00
2200,25-1111.00
2200,25-1112.00
2200,25-1113.00
2200,25-1121.00
2200,25-1122.00
2200,25-1123.00
2200,25-1124.00
2200,25-1125.00
2200,25-1126.00
2200,25-1192.00
2200,25-1193.00
2200,25-1194.00
2200,25-1199.00
2200,25-9044.00
2300,25-2011.00
2300,25-2012.00
2310,25-2021.00
2310,25-2022.00
2310,25-2023.00
2320,25-2031.00
2320,25-2032.00
2330,25-2051.00
2330,25-2055.00
2330,25-2056.00
2330,25-2057.00
2330,25-2058.00
2330,25-2059.00
2330,25-2059.01
2340,25-3011.00
2340,25-3021.00
2340,25-3031.00
2340,25-3041.00
2340,25-3099.00
2400,25-4011.00
2400,25-4012.00
2400,25-4013.00
2430,25-4022.00
2440,25-4031.00
2540,25-9042.00
2540,25-9043.00
2540,25-9049.00
2550,25-4022.00
2550,25-9021.00
2550,25-9031.00
2550,25-9099.00
2600,27-1011.00
2600,27-1012.00
2600,27-1013.00
2600,27-1014.00
2600,27-1019.00
2630,27-1021.00
2630,27-1022.00
2630,27-1023.00
2630,27-1024.00
2630,27-1025.00
2630,27-1026.00
2630,27-1027.00
2630,27-1029.00
2700,27-2011.00
2710,27-2012.00
2710,27-2012.03
2710,27-2012.04
2710,27-2012.05
2720,27-2021.00
2720,27-2022.00
2720,27-2023.00
2740,27-2031.00
2740,27-2032.00
2750,27-2041.00
2750,27-2042.00
2760,27-2091.00
2760,27-2099.00
2800,27-3011.00
2800,27-3099.00
2810,27-3023.00
2825,27-3031.00
2830,27-3041.00
2840,27-3042.00
2850,27-3043.00
2850,27-3043.05
2860,27-3091.00
